,Scenario,SOW,Temp_Limit,Delay,GDP,Pop,Other_ESD_Drivers,SDR,Elast_ESD_Driver,Elast_ESD_Price,CO2_Storage_Poten,Wind_Poten,Solar_Poten,Biomass_Poten,Oil_Gas_Poten,Solar_PV_Inv_Cost,Wind_Inv_Cost,Bioenergy_CCS_Inv_Cost,Other_Tech_Cost,Forcing,Land_Sinks,Clim_Sens,Year,Temp_Change,Rad_Forcing,CO2_Conc,CH4_Conc,N20_Conc,Carbon,CO2eq,Marg_CO2_Cost,GSupply,GSupply_Bioenergy,GSupply_Fossil,GSupply_Geothermal,GSupply_Nuclear,GSupply_Solar,GSupply_Tidal_Waves,GSupply_Wind,GConsumption,GConsumption_Fossil,GConsumption_Nuclear,GConsumption_Renewable,GCost
1360,1p5c_OS_SSP2,369,1.5,15,1.03436,1.0083,1.05932,3.96755,1.00874,0.964445,1.27861,1.08192,1.15041,0.9829,1.03778,0.871237,1.07824,0.955258,0.954986,1.06184,1.17295,3.1,2050,1.676261957,2.250727109,382.8298303,1458.917556,354.3273926,-2.566517529,-9.411419779,399.6161378,56.73612883,,11.06870935,2.088441279,5.149305626,21.11000845,2.415957053,9.487870898,791.8091154,331.2539958,53.18344644,407.3716732,37.72544069
1361,1p5c_OS_SSP2,370,1.5,15,1.04226,1.05293,0.938591,4.0301,0.913628,1.02438,0.984891,0.89995,0.944746,1.05587,1.0669,1.01792,0.987839,1.103,1.12489,1.09442,1.11908,3.4,2050,1.769859037,2.186958234,377.8856026,1442.47694,354.2681204,-3.254527007,-11.93435053,414.5009474,52.52826425,,12.15454506,2.042942997,4.83160754,17.05982897,2.065050183,9.214135636,739.5524947,284.5271193,49.91242695,405.1129484,39.23310137
1363,1p5c_OS_SSP2,372,1.5,15,1.12377,1.01507,0.989922,4.14811,1.03234,1.23574,1.38095,1.06495,1.18187,1.09682,1.04738,1.18897,1.08515,1.15531,1.11721,0.970256,1.13586,2.2,2050,1.493122873,2.920850149,437.0122588,1542.105379,355.1074826,2.487794431,9.122742178,131.3031817,39.13241889,,5.284190705,2.04011569,4.504841673,10.93461847,2.300328598,8.794172314,808.1920747,430.4702088,46.54804557,331.1738203,27.96042971
1366,1p5c_OS_SSP2,375,1.5,15,1.1059,1.01969,1.05033,5.10939,0.918917,1.11633,1.09612,0.939531,0.954817,1.10228,1.09338,0.988578,1.02277,1.28269,1.12147,0.980023,1.13014,4.3,2050,2.065628888,2.159335385,375.8045442,1433.734573,354.1647109,-4.017794829,-14.73325364,615.1149121,59.78585393,,13.3298392,2.267144513,4.911660589,20.64556175,2.486445302,10.88633892,764.9269602,270.170459,50.73665314,444.0198481,54.48804841
1367,1p5c_OS_SSP2,376,1.5,15,1.07918,1.0523,1.023,4.24909,0.840555,1.47251,1.09153,0.956842,1.5,0.888982,1.03189,1.06352,1.01422,1.10991,1.20977,1.05944,1.09412,3.0,2050,1.65642398,2.308158098,387.7406703,1454.869976,354.4548942,-2.031281388,-7.44870885,310.2885782,43.32718462,,9.947446747,1.821783822,4.812499178,12.13465135,1.988830074,7.764647886,653.2228288,274.9762505,49.71568725,328.530891,32.80575336
1368,1p5c_OS_SSP2,377,1.5,15,1.13442,0.967271,0.978977,4.18339,0.974919,0.918608,1.1425,0.892039,1.22287,1.07466,1.04614,1.01053,1.09384,1.05748,0.949684,1.00327,1.0498,2.4,2050,1.508425452,2.673743065,416.8094927,1518.942466,354.9507086,1.699443586,6.23185963,123.4379863,37.78943546,,6.976193374,1.946180412,4.689985342,9.462324346,1.933,7.690474196,765.1121941,399.046838,48.45428479,317.6110713,27.29771342
1369,1p5c_OS_SSP2,378,1.5,15,1.16768,1.00688,1.0042,4.45933,1.03325,1.33149,1.17779,1.09609,1.17568,1.0904,0.956679,0.877041,1.03558,0.979594,1.02182,1.08426,0.977455,3.1,2050,1.685274464,2.268468552,383.704084,1481.046874,354.5708603,-2.68363274,-9.840881258,405.9272505,60.95390473,,12.31074355,2.080334972,5.095567864,23.50990311,2.557031602,9.979850157,857.7487872,367.2505358,52.63016244,437.868089,40.574341
1370,1p5c_OS_SSP2,379,1.5,15,1.14851,1.04962,1.07193,4.61484,1.01976,1.15351,1.01885,0.980544,1.14134,0.861281,1.07779,1.12696,1.05313,0.881067,1.13237,0.878204,1.01152,3.2,2050,1.734158852,2.298492915,386.7924504,1461.464913,354.323602,-2.132609233,-7.820278057,500.9635284,61.97463564,,10.14636436,2.408062922,4.981773468,25.50604574,2.705385139,10.79718602,812.1387166,355.4444605,51.45853534,405.2357208,43.13008308
1371,1p5c_OS_SSP2,380,1.5,15,1.09349,0.987588,0.970856,3.45432,0.952455,0.992722,1.24929,0.949425,1.31505,1.1158,1.06775,1.1421,1.1671,1.08592,1.09309,1.05734,1.04944,4.1,2050,1.972180286,2.08948277,370.2093768,1423.250232,354.0561714,-4.359623409,-15.98673904,760.0001955,68.35041437,,13.27514071,3.174004479,4.874732123,28.84968306,2.440995244,9.777027602,791.5737446,265.1275107,50.35643765,476.0897963,49.74017557
1372,1p5c_OS_SSP2,381,1.5,15,1.1302,0.998177,1.03292,4.35382,0.919303,0.923139,1.08604,0.974908,1.07685,1.16546,1.01339,0.946684,0.956087,1.08196,1.00244,1.00485,1.04295,2.1,2050,1.484520866,3.050596788,448.0755774,1536.916265,355.123122,3.271509293,11.99662458,94.98073744,33.34573682,,2.473889377,1.961048648,4.60627393,8.29442658,2.242924018,8.729341449,707.1630972,377.9535067,47.59239209,281.6171984,25.1211361
